"Gene.set","URL","universe.size","goi","goi.in.universe","pathway.size","no.overlap","k.over.K","pvalue","FDR","Overlapping Genes","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67"
"RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)",NA,21271,74,67,25,0,0,0.0758811479360018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"detection of light stimulus involved in visual perception (GO:0050908)",NA,21271,74,67,15,0,0,0.0462346461049716,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNA phosphodiester bond hydrolysis (GO:0090501)",NA,21271,74,67,88,0,0,0.242848998924409,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sensory organ development (GO:0007423)",NA,21271,74,67,102,3,0.0294117647058824,0.0003029347323906,1,"LEF1","CHRDL1","ECE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cytokine-mediated signaling pathway (GO:0001959)",NA,21271,74,67,94,1,0.0106382978723404,0.0354804546611093,1,"PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"endochondral ossification (GO:0001958)",NA,21271,74,67,29,0,0,0.0874839019111785,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein complex biogenesis (GO:0070271)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of thymocyte apoptotic process (GO:0070243)",NA,21271,74,67,14,1,0.0714285714285714,0.000867938302172899,1,"BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"blood vessel maturation (GO:0001955)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of cell-matrix adhesion (GO:0001954)",NA,21271,74,67,38,0,0,0.113067976492081,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cell proliferation involved in kidney development (GO:1901722)",NA,21271,74,67,9,0,0,0.0279990966863781,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of cell-matrix adhesion (GO:0001952)",NA,21271,74,67,77,1,0.012987012987013,0.0245729664632349,1,"DAPK3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"carnitine transport (GO:0015879)",NA,21271,74,67,12,0,0,0.0371593972504115,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"protein K63-linked ubiquitination (GO:0070534)",NA,21271,74,67,31,0,0,0.0932313450640775,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of transcription regulatory region DNA binding (GO:2000677)",NA,21271,74,67,23,0,0,0.0700253945682372,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to transforming growth factor beta stimulus (GO:0071560)",NA,21271,74,67,165,2,0.0121212121212121,0.015280866332073,1,"ID1","ITGB5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nuclear-transcribed mRNA catabolic process (GO:0000956)",NA,21271,74,67,182,0,0,0.438214006708288,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of type B pancreatic cell apoptotic process (GO:2000674)",NA,21271,74,67,8,1,0.125,0.00027033975173571,1,"TCF7L2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"nephron tubule development (GO:0072080)",NA,21271,74,67,17,1,0.0588235294117647,0.00128924902532898,1,"AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of myeloid cell apoptotic process (GO:0033033)",NA,21271,74,67,11,0,0,0.0341154525335604,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of gastrulation (GO:0010470)",NA,21271,74,67,30,0,0,0.0903620950460976,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of type I interferon production (GO:0032479)",NA,21271,74,67,107,2,0.0186915887850467,0.00469373894905192,1,"NLRX1","TAX1BP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of myeloid cell apoptotic process (GO:0033032)",NA,21271,74,67,21,0,0,0.0641330930165918,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"mitochondrial RNA metabolic process (GO:0000959)",NA,21271,74,67,19,0,0,0.0582040186461833,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"positive regulation of transcription regulatory region DNA binding (GO:2000679)",NA,21271,74,67,8,0,0,0.0249266273279135,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"negative regulation of endoplasmic reticulum calcium ion concentration (GO:0032471)",NA,21271,74,67,7,1,0.142857142857143,0.000203168291809101,1,"BBC3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"heparin biosynthetic process (GO:0030210)",NA,21271,74,67,7,0,0,0.0218445913808917,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"glycoside metabolic process (GO:0016137)",NA,21271,74,67,16,0,0,0.0492409633194504,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"toll-like receptor 3 signaling pathway (GO:0034138)",NA,21271,74,67,79,0,0,0.220956173441671,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"neutrophil activation (GO:0042119)",NA,21271,74,67,18,0,0,0.0552256210840805,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"macrophage activation (GO:0042116)",NA,21271,74,67,25,0,0,0.0758811479360018,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"toll-like receptor 2 signaling pathway (GO:0034134)",NA,21271,74,67,72,0,0,0.20349837788348,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"cellular response to steroid hormone stimulus (GO:0071383)",NA,21271,74,67,122,3,0.0245901639344262,0.000597307093676862,1,"LEF1","AQP1","PPARG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"metanephric tubule development (GO:0072170)",NA,21271,74,67,10,1,0.1,0.00043270854330034,1,"AQP1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"regulation of energy homeostasis (GO:2000505)",NA,21271,74,67,10,0,0,0.0310620287022758,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B cell activation (GO:0042113)",NA,21271,74,67,127,1,0.0078740157480315,0.0608194977755152,1,"LEF1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
