Gene,logFC,logCPM,LR,PValue,FDR
ABHD14A-ACY1,0.154271041,4.333889376,0.24301211,0.622039025,0.996621727
COA7,0.127079123,3.680995804,0.242995808,0.622050708,0.996621727
INTS9,-0.10911388,3.677788614,0.242687714,0.62227161,0.996621727
CIAO1,-0.091933995,6.014176315,0.24262509,0.622316532,0.996621727
FBXL13,-0.217817176,3.324149886,0.242537424,0.62237943,0.996621727
BTBD19,0.291129026,0.487019707,0.242475215,0.622424072,0.996621727
ZNF653,-0.125867547,2.543479693,0.242363381,0.622504343,0.996621727
LOC105371492,-0.296593696,0.391771336,0.24223315,0.622597848,0.996621727
ZNF527,0.141635829,2.165208554,0.242119363,0.622679572,0.996621727
SNRNP35,0.14322774,4.182282351,0.242113389,0.622683864,0.996621727
LINC02035,0.120362581,3.231234308,0.241983472,0.622777203,0.996621727
MSL3,-0.093726542,4.972366719,0.24191387,0.622827221,0.996621727
PBX2,-0.098032552,5.59865442,0.241883264,0.622849219,0.996621727
LIFR-AS1,0.166793262,0.779433534,0.24149689,0.623127066,0.996621727
SRSF4,0.13737683,6.095467155,0.241211245,0.623332655,0.996621727
RNF181,-0.155355533,4.902768704,0.241110275,0.623405363,0.996621727
MTFR1L,0.112652091,5.051579887,0.241069031,0.623435068,0.996621727
SLC35E4,-0.195518158,1.48947328,0.240976935,0.623501409,0.996621727
ZSCAN16-AS1,-0.173186547,1.000505181,0.240813222,0.623619379,0.996621727
ADGRL3,-0.273092216,2.746632914,0.240687154,0.623710256,0.996621727
NPHP3-ACAD11,-0.118675826,5.092517795,0.240674407,0.623719447,0.996621727
MTFR1,0.108634129,4.339940229,0.24055818,0.623803258,0.996621727
PRORP,-0.090732518,5.277558205,0.240494965,0.623848853,0.996621727
TRIM59-IFT80,-0.209074254,6.40108407,0.240483491,0.62385713,0.996621727
ALDH18A1,-0.105616032,5.863481131,0.240442377,0.623886789,0.996621727
HLA-DQA2,0.214937587,1.191070829,0.240395739,0.623920437,0.996621727
PER3,-0.149893283,4.098539013,0.240029192,0.624185031,0.996621727
NAGK,0.125474045,5.320075287,0.239827493,0.624330736,0.996621727
SELP,-0.180386622,3.444729615,0.239564832,0.624520593,0.996621727
ABHD15,0.114239334,3.869835616,0.239342951,0.624681073,0.996621727
RHOV,0.135267533,6.863338058,0.239337393,0.624685095,0.996621727
SLC22A17,-0.227736595,0.924390161,0.239289758,0.62471956,0.996621727
LOC102725044,0.183683937,1.469615187,0.239041764,0.624899062,0.996621727
RNASEH2C,-0.170704454,3.611461129,0.238919966,0.624987262,0.996621727
SF3B2,-0.102487654,7.54737805,0.238801099,0.625073368,0.996621727
ZNF875,-0.107382712,5.514806375,0.238744965,0.62511404,0.996621727
DCP1A,0.110956086,4.194759671,0.238665099,0.625171917,0.996621727
SLC2A12,-0.133285825,4.72166829,0.238517939,0.625278592,0.996621727
MTHFS,0.135726041,3.863946782,0.238388847,0.625372204,0.996621727
IGFLR1,0.259562346,-0.084814034,0.238336783,0.625409966,0.996621727
M6PR,-0.101985994,6.317024611,0.238223812,0.625491925,0.996621727
ZNF345,-0.173090489,1.931560111,0.23816059,0.625537801,0.996621727
